식당명,카테고리,picture,분위기가 좋아요,인테리어,조용한,트렌디,데이트,특별한 날,가족,가성비,혼밥,국물,따뜻한,파전,아늑한,비오는 날,이자카야,전골,시원한,여름,냉면,빙수,브런치,테라스,창가,날씨 좋은,신선한,안주
88맵도리분식포차,한식,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250916_71%2F1758019356462cud2i_JPEG%2F14.JPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구돌면옥,아무거나,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250918_139%2F1758162833429da2et_JPEG%2FKakaoTalk_20250916_175247537.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
